Local Time,PM2.5 (ug/m3)
01-Jan-2020 00:00:00,4.06177
01-Jan-2020 01:00:00,3.52256
01-Jan-2020 02:00:00,2.97229
01-Jan-2020 03:00:00,2.92462
01-Jan-2020 04:00:00,3.846485
01-Jan-2020 05:00:00,4.07003
01-Jan-2020 06:00:00,4.165405
01-Jan-2020 07:00:00,4.06023
01-Jan-2020 08:00:00,3.90987
01-Jan-2020 09:00:00,4.2724
01-Jan-2020 10:00:00,4.90793
01-Jan-2020 11:00:00,3.1301925
01-Jan-2020 12:00:00,3.0567625
01-Jan-2020 13:00:00,5.119736
01-Jan-2020 14:00:00,1.993865
01-Jan-2020 15:00:00,1.744595
01-Jan-2020 16:00:00,2.4703725
01-Jan-2020 17:00:00,3.229995
01-Jan-2020 18:00:00,4.26449
01-Jan-2020 19:00:00,4.73076
01-Jan-2020 20:00:00,4.63843
01-Jan-2020 21:00:00,2.9022025
01-Jan-2020 22:00:00,2.9627875
01-Jan-2020 23:00:00,2.7332225
02-Jan-2020 00:00:00,2.74724
02-Jan-2020 01:00:00,2.58358
02-Jan-2020 02:00:00,3.5455725
02-Jan-2020 03:00:00,3.5076675
02-Jan-2020 04:00:00,4.45573
02-Jan-2020 05:00:00,5.32254
02-Jan-2020 06:00:00,6.96572
02-Jan-2020 07:00:00,7.00996
02-Jan-2020 08:00:00,7.39069
02-Jan-2020 09:00:00,7.25972
02-Jan-2020 10:00:00,8.08068
02-Jan-2020 11:00:00,5.96647
02-Jan-2020 12:00:00,4.1793525
02-Jan-2020 13:00:00,3.47804
02-Jan-2020 14:00:00,4.3747925
02-Jan-2020 15:00:00,5.1065025
02-Jan-2020 16:00:00,5.18982
02-Jan-2020 17:00:00,6.44793
02-Jan-2020 18:00:00,5.94449
02-Jan-2020 19:00:00,5.45974
02-Jan-2020 20:00:00,4.94804
02-Jan-2020 21:00:00,5.3007
02-Jan-2020 22:00:00,5.14481
02-Jan-2020 23:00:00,5.48487
03-Jan-2020 00:00:00,4.38643
03-Jan-2020 01:00:00,4.569025
03-Jan-2020 02:00:00,4.99837
03-Jan-2020 03:00:00,4.88049
03-Jan-2020 04:00:00,5.09518
03-Jan-2020 05:00:00,5.98201
03-Jan-2020 06:00:00,5.21467
03-Jan-2020 07:00:00,4.60154
03-Jan-2020 08:00:00,5.54892
03-Jan-2020 09:00:00,6.0329
03-Jan-2020 10:00:00,5.22223
03-Jan-2020 11:00:00,6.26551
03-Jan-2020 12:00:00,7.203895
03-Jan-2020 13:00:00,7.64682
03-Jan-2020 14:00:00,5.820765
03-Jan-2020 15:00:00,5.92195
03-Jan-2020 16:00:00,6.3436825
03-Jan-2020 17:00:00,8.0902
03-Jan-2020 18:00:00,8.00396
