Local Time,PM2.5 (ug/m3)
01-Jan-2020 00:00:00,49.80719
01-Jan-2020 01:00:00,25.99676
01-Jan-2020 02:00:00,17.95047
01-Jan-2020 03:00:00,14.09193
01-Jan-2020 04:00:00,8.99558
01-Jan-2020 05:00:00,7.91142
01-Jan-2020 06:00:00,6.22421
01-Jan-2020 07:00:00,5.88023
01-Jan-2020 08:00:00,8.09867
01-Jan-2020 09:00:00,8.83773
01-Jan-2020 10:00:00,8.16076
01-Jan-2020 11:00:00,6.8594425
01-Jan-2020 12:00:00,4.857845
01-Jan-2020 13:00:00,4.349057
01-Jan-2020 14:00:00,10.409475
01-Jan-2020 15:00:00,3.18761
01-Jan-2020 16:00:00,3.406892
01-Jan-2020 17:00:00,10.92184
01-Jan-2020 18:00:00,8.21298
01-Jan-2020 19:00:00,15.07585
01-Jan-2020 20:00:00,10.53971
01-Jan-2020 21:00:00,7.35905
01-Jan-2020 22:00:00,8.25323
01-Jan-2020 23:00:00,5.09273
02-Jan-2020 00:00:00,5.13011
02-Jan-2020 01:00:00,3.41056
02-Jan-2020 02:00:00,4.50074
02-Jan-2020 03:00:00,4.5454
02-Jan-2020 04:00:00,5.63551
02-Jan-2020 05:00:00,6.02338
02-Jan-2020 06:00:00,7.96084
02-Jan-2020 07:00:00,8.00319
02-Jan-2020 08:00:00,9.36147
02-Jan-2020 09:00:00,9.46528
02-Jan-2020 10:00:00,7.33329
02-Jan-2020 11:00:00,6.50547
02-Jan-2020 12:00:00,5.83347
02-Jan-2020 13:00:00,5.3349825
02-Jan-2020 14:00:00,5.52883
02-Jan-2020 15:00:00,5.590535
02-Jan-2020 16:00:00,5.76417
02-Jan-2020 17:00:00,8.95974
02-Jan-2020 18:00:00,13.13167
02-Jan-2020 19:00:00,9.93701
02-Jan-2020 20:00:00,8.10252
02-Jan-2020 21:00:00,24.58451
02-Jan-2020 22:00:00,30.01119
02-Jan-2020 23:00:00,50.07116
03-Jan-2020 00:00:00,33.48865
03-Jan-2020 01:00:00,7.80089
03-Jan-2020 02:00:00,8.17189
03-Jan-2020 03:00:00,6.53466
03-Jan-2020 04:00:00,7.08857
03-Jan-2020 05:00:00,8.27626
03-Jan-2020 06:00:00,9.90985
03-Jan-2020 07:00:00,11.32021
03-Jan-2020 08:00:00,14.55862
03-Jan-2020 09:00:00,16.81017
03-Jan-2020 10:00:00,13.51541
03-Jan-2020 11:00:00,10.25607
03-Jan-2020 12:00:00,8.47765
03-Jan-2020 13:00:00,6.045185
03-Jan-2020 14:00:00,7.04538
03-Jan-2020 15:00:00,7.9582325
03-Jan-2020 16:00:00,12.39926
03-Jan-2020 17:00:00,19.2461
03-Jan-2020 18:00:00,46.57095
03-Jan-2020 19:00:00,69.93128
03-Jan-2020 20:00:00,47.00992
03-Jan-2020 21:00:00,58.45625
03-Jan-2020 22:00:00,90.21182
03-Jan-2020 23:00:00,72.23057
04-Jan-2020 00:00:00,35.8361
04-Jan-2020 01:00:00,22.22754
04-Jan-2020 02:00:00,23.50609
04-Jan-2020 03:00:00,13.525
04-Jan-2020 04:00:00,16.91314
04-Jan-2020 05:00:00,9.25094
04-Jan-2020 06:00:00,6.80815
04-Jan-2020 07:00:00,7.34036
04-Jan-2020 08:00:00,14.78374
