Local Time,PM2.5 (ug/m3)
01-Jan-2020 00:00:00,18.78872
01-Jan-2020 01:00:00,13.78505
01-Jan-2020 02:00:00,11.69079
01-Jan-2020 03:00:00,12.60996
01-Jan-2020 04:00:00,11.34009
01-Jan-2020 05:00:00,8.88316
01-Jan-2020 06:00:00,7.5463
01-Jan-2020 07:00:00,9.38331
01-Jan-2020 08:00:00,9.00874
01-Jan-2020 09:00:00,10.52256
01-Jan-2020 10:00:00,11.6063
01-Jan-2020 11:00:00,13.8778
01-Jan-2020 12:00:00,15.74337
01-Jan-2020 13:00:00,17.92681
01-Jan-2020 14:00:00,20.02604
01-Jan-2020 15:00:00,17.60187
01-Jan-2020 16:00:00,25.78606
01-Jan-2020 17:00:00,25.48835
01-Jan-2020 18:00:00,23.87156
01-Jan-2020 19:00:00,26.23098
01-Jan-2020 20:00:00,28.72879
01-Jan-2020 21:00:00,28.77275
01-Jan-2020 22:00:00,34.38479
01-Jan-2020 23:00:00,22.81666
02-Jan-2020 00:00:00,23.01056
02-Jan-2020 01:00:00,22.77802
02-Jan-2020 02:00:00,19.14509
02-Jan-2020 03:00:00,17.74208
02-Jan-2020 04:00:00,16.66212
02-Jan-2020 05:00:00,17.50093
02-Jan-2020 06:00:00,17.75398
02-Jan-2020 07:00:00,17.28995
02-Jan-2020 08:00:00,20.75334
02-Jan-2020 09:00:00,18.11511
02-Jan-2020 10:00:00,16.58519
02-Jan-2020 11:00:00,18.06779
02-Jan-2020 12:00:00,21.69407
02-Jan-2020 13:00:00,18.57858
02-Jan-2020 14:00:00,25.06247
02-Jan-2020 15:00:00,18.8086
02-Jan-2020 16:00:00,19.74807
02-Jan-2020 17:00:00,15.90304
02-Jan-2020 18:00:00,17.30913
02-Jan-2020 19:00:00,21.08619
02-Jan-2020 20:00:00,24.26692
02-Jan-2020 21:00:00,32.01193
02-Jan-2020 22:00:00,75.35481
02-Jan-2020 23:00:00,44.23834
03-Jan-2020 00:00:00,31.63218
03-Jan-2020 01:00:00,31.59914
03-Jan-2020 02:00:00,23.78665
03-Jan-2020 03:00:00,28.07905
03-Jan-2020 04:00:00,20.53676
03-Jan-2020 05:00:00,20.34048
03-Jan-2020 06:00:00,16.48033
