Local Time,PM2.5 (ug/m3)
01-Jan-2020 00:00:00,6.70014
01-Jan-2020 01:00:00,6.53515
01-Jan-2020 02:00:00,2.8674125
01-Jan-2020 03:00:00,2.1291575
01-Jan-2020 04:00:00,3.094265
01-Jan-2020 05:00:00,2.93659
01-Jan-2020 06:00:00,2.634925
01-Jan-2020 07:00:00,4.18931
01-Jan-2020 08:00:00,7.6555525
01-Jan-2020 09:00:00,5.859566
01-Jan-2020 10:00:00,4.25581
01-Jan-2020 11:00:00,4.3493475
01-Jan-2020 12:00:00,3.7967675
01-Jan-2020 13:00:00,4.10594
01-Jan-2020 14:00:00,4.7582175
01-Jan-2020 15:00:00,2.8867675
01-Jan-2020 16:00:00,3.51815
01-Jan-2020 17:00:00,4.77269
01-Jan-2020 18:00:00,4.8037
01-Jan-2020 19:00:00,5.97613
01-Jan-2020 20:00:00,6.3677275
01-Jan-2020 21:00:00,3.79031
01-Jan-2020 22:00:00,3.4247
01-Jan-2020 23:00:00,3.02164
02-Jan-2020 00:00:00,2.99651
02-Jan-2020 01:00:00,2.51701
02-Jan-2020 02:00:00,3.67579
02-Jan-2020 03:00:00,3.3422925
02-Jan-2020 04:00:00,3.84057
02-Jan-2020 05:00:00,4.82652
02-Jan-2020 06:00:00,6.89033
02-Jan-2020 07:00:00,7.04741
02-Jan-2020 08:00:00,7.24908
02-Jan-2020 09:00:00,8.779952
02-Jan-2020 10:00:00,11.726
02-Jan-2020 11:00:00,8.68156
02-Jan-2020 12:00:00,6.13706
02-Jan-2020 13:00:00,3.95992
02-Jan-2020 14:00:00,4.9654
02-Jan-2020 15:00:00,11.0288
02-Jan-2020 16:00:00,9.1904075
02-Jan-2020 17:00:00,14.99507
02-Jan-2020 18:00:00,10.5199
02-Jan-2020 19:00:00,8.41955
02-Jan-2020 20:00:00,10.31424
02-Jan-2020 21:00:00,10.9176575
02-Jan-2020 22:00:00,6.33796
02-Jan-2020 23:00:00,5.65588
03-Jan-2020 00:00:00,6.30135
03-Jan-2020 01:00:00,6.6958
03-Jan-2020 02:00:00,5.32674
03-Jan-2020 03:00:00,5.14306
03-Jan-2020 04:00:00,4.83968
03-Jan-2020 05:00:00,5.68332
03-Jan-2020 06:00:00,5.14663
03-Jan-2020 07:00:00,3.29338
03-Jan-2020 08:00:00,5.52862
03-Jan-2020 09:00:00,4.82799
03-Jan-2020 10:00:00,6.07147
03-Jan-2020 11:00:00,6.29281
03-Jan-2020 12:00:00,4.78487
03-Jan-2020 13:00:00,7.5176
03-Jan-2020 14:00:00,7.1235
03-Jan-2020 15:00:00,4.78592
03-Jan-2020 16:00:00,16.97383
03-Jan-2020 17:00:00,12.4272775
03-Jan-2020 18:00:00,19.5046625
03-Jan-2020 19:00:00,9.3537525
03-Jan-2020 20:00:00,8.71796
03-Jan-2020 21:00:00,7.65165
03-Jan-2020 22:00:00,5.98635
03-Jan-2020 23:00:00,5.96696
04-Jan-2020 00:00:00,3.0433575
04-Jan-2020 01:00:00,NaN
04-Jan-2020 02:00:00,1.4028725
04-Jan-2020 03:00:00,2.73443
04-Jan-2020 04:00:00,3.639005
04-Jan-2020 05:00:00,1.903915
04-Jan-2020 06:00:00,2.265605
04-Jan-2020 07:00:00,5.26829
04-Jan-2020 08:00:00,8.9830675
04-Jan-2020 09:00:00,16.10212
04-Jan-2020 10:00:00,17.14078
04-Jan-2020 11:00:00,15.562
04-Jan-2020 12:00:00,21.2240725
04-Jan-2020 13:00:00,11.82218
04-Jan-2020 14:00:00,9.63867
04-Jan-2020 15:00:00,6.32123
04-Jan-2020 16:00:00,6.60431
04-Jan-2020 17:00:00,7.17887
04-Jan-2020 18:00:00,7.97519
04-Jan-2020 19:00:00,8.0678
04-Jan-2020 20:00:00,6.31563
04-Jan-2020 21:00:00,5.17687
04-Jan-2020 22:00:00,4.73979
04-Jan-2020 23:00:00,4.76926
05-Jan-2020 00:00:00,4.74091
05-Jan-2020 01:00:00,4.79537
05-Jan-2020 02:00:00,5.36475
05-Jan-2020 03:00:00,5.30259
05-Jan-2020 04:00:00,5.39982
05-Jan-2020 05:00:00,5.29293
05-Jan-2020 06:00:00,7.40462
05-Jan-2020 07:00:00,11.12337
05-Jan-2020 08:00:00,8.94833
05-Jan-2020 09:00:00,6.59696
05-Jan-2020 10:00:00,7.1620875
05-Jan-2020 11:00:00,21.47357
05-Jan-2020 12:00:00,14.876595
05-Jan-2020 13:00:00,11.2222975
05-Jan-2020 14:00:00,7.4830025
05-Jan-2020 15:00:00,8.19044
05-Jan-2020 16:00:00,4.92151
05-Jan-2020 17:00:00,4.6256375
05-Jan-2020 18:00:00,7.156995
05-Jan-2020 19:00:00,4.8058175
05-Jan-2020 20:00:00,4.654838
05-Jan-2020 21:00:00,NaN
05-Jan-2020 22:00:00,4.1631825
05-Jan-2020 23:00:00,4.749695
06-Jan-2020 00:00:00,NaN
06-Jan-2020 01:00:00,NaN
06-Jan-2020 02:00:00,NaN
06-Jan-2020 03:00:00,NaN
06-Jan-2020 04:00:00,NaN
06-Jan-2020 05:00:00,NaN
06-Jan-2020 06:00:00,NaN
06-Jan-2020 07:00:00,NaN
06-Jan-2020 08:00:00,3.062065
06-Jan-2020 09:00:00,2.249855
06-Jan-2020 10:00:00,3.438182
06-Jan-2020 11:00:00,3.511885
06-Jan-2020 12:00:00,3.055184
06-Jan-2020 13:00:00,3.578665
06-Jan-2020 14:00:00,3.2184625
06-Jan-2020 15:00:00,4.189835
06-Jan-2020 16:00:00,4.04574
06-Jan-2020 17:00:00,6.8786925
06-Jan-2020 18:00:00,8.78894
06-Jan-2020 19:00:00,10.2329
06-Jan-2020 20:00:00,8.017435
06-Jan-2020 21:00:00,8.28305
06-Jan-2020 22:00:00,4.2024
06-Jan-2020 23:00:00,7.8026925
07-Jan-2020 00:00:00,5.21383
07-Jan-2020 01:00:00,2.6729
07-Jan-2020 02:00:00,2.073945
07-Jan-2020 03:00:00,1.82331875
07-Jan-2020 04:00:00,2.2000675
07-Jan-2020 05:00:00,2.06943
07-Jan-2020 06:00:00,2.235855
07-Jan-2020 07:00:00,2.3364975
07-Jan-2020 08:00:00,2.308172
07-Jan-2020 09:00:00,2.3452125
07-Jan-2020 10:00:00,2.443895
07-Jan-2020 11:00:00,2.5406875
07-Jan-2020 12:00:00,3.36618
07-Jan-2020 13:00:00,4.6811825
07-Jan-2020 14:00:00,4.4366375
07-Jan-2020 15:00:00,5.20662
07-Jan-2020 16:00:00,4.84234
07-Jan-2020 17:00:00,6.90468
07-Jan-2020 18:00:00,3.936925
07-Jan-2020 19:00:00,3.173687
07-Jan-2020 20:00:00,2.7036475
07-Jan-2020 21:00:00,3.4055375
07-Jan-2020 22:00:00,2.9782225
07-Jan-2020 23:00:00,1.956884
08-Jan-2020 00:00:00,1.8770875
08-Jan-2020 01:00:00,2.2651675
08-Jan-2020 02:00:00,2.556525
08-Jan-2020 03:00:00,2.103065
08-Jan-2020 04:00:00,2.3108425
08-Jan-2020 05:00:00,2.3690825
08-Jan-2020 06:00:00,2.550785
08-Jan-2020 07:00:00,3.732
08-Jan-2020 08:00:00,3.3171625
08-Jan-2020 09:00:00,3.91001
08-Jan-2020 10:00:00,3.48973
08-Jan-2020 11:00:00,4.566365
08-Jan-2020 12:00:00,4.70129
08-Jan-2020 13:00:00,4.63206
08-Jan-2020 14:00:00,3.80144
08-Jan-2020 15:00:00,4.75764
08-Jan-2020 16:00:00,4.91031
08-Jan-2020 17:00:00,6.08008
08-Jan-2020 18:00:00,5.61794
08-Jan-2020 19:00:00,5.49628
08-Jan-2020 20:00:00,5.40234
08-Jan-2020 21:00:00,5.8520025
08-Jan-2020 22:00:00,2.039477
08-Jan-2020 23:00:00,1.3668575
09-Jan-2020 00:00:00,NaN
09-Jan-2020 01:00:00,2.353175
09-Jan-2020 02:00:00,NaN
09-Jan-2020 03:00:00,NaN
09-Jan-2020 04:00:00,NaN
09-Jan-2020 05:00:00,1.286935
09-Jan-2020 06:00:00,NaN
09-Jan-2020 07:00:00,2.6026725
09-Jan-2020 08:00:00,4.55044
09-Jan-2020 09:00:00,3.84827
09-Jan-2020 10:00:00,4.75484
09-Jan-2020 11:00:00,8.512916
09-Jan-2020 12:00:00,7.87397
09-Jan-2020 13:00:00,6.35567
09-Jan-2020 14:00:00,5.26983
09-Jan-2020 15:00:00,5.94981
09-Jan-2020 16:00:00,7.942745
09-Jan-2020 17:00:00,12.4990275
09-Jan-2020 18:00:00,9.1094
09-Jan-2020 19:00:00,14.555575
09-Jan-2020 20:00:00,11.6109375
09-Jan-2020 21:00:00,8.83381
09-Jan-2020 22:00:00,6.41916
09-Jan-2020 23:00:00,5.94071
10-Jan-2020 00:00:00,4.43242
10-Jan-2020 01:00:00,3.1430725
10-Jan-2020 02:00:00,2.077165
10-Jan-2020 03:00:00,2.93197
10-Jan-2020 04:00:00,5.14761
10-Jan-2020 05:00:00,5.46303
10-Jan-2020 06:00:00,6.4466
10-Jan-2020 07:00:00,9.768835
10-Jan-2020 08:00:00,19.7226075
10-Jan-2020 09:00:00,8.0055875
10-Jan-2020 10:00:00,7.55834
10-Jan-2020 11:00:00,11.8422
10-Jan-2020 12:00:00,17.5009125
10-Jan-2020 13:00:00,18.27807
10-Jan-2020 14:00:00,10.62301
10-Jan-2020 15:00:00,9.24086
10-Jan-2020 16:00:00,8.52252
10-Jan-2020 17:00:00,10.55448
10-Jan-2020 18:00:00,13.363622
10-Jan-2020 19:00:00,15.03112
10-Jan-2020 20:00:00,13.91693
10-Jan-2020 21:00:00,12.35754
10-Jan-2020 22:00:00,10.56729
10-Jan-2020 23:00:00,11.19421
11-Jan-2020 00:00:00,12.315295
11-Jan-2020 01:00:00,10.34238
11-Jan-2020 02:00:00,7.57794
11-Jan-2020 03:00:00,7.14968
11-Jan-2020 04:00:00,7.51361
11-Jan-2020 05:00:00,7.0059
11-Jan-2020 06:00:00,8.00984
11-Jan-2020 07:00:00,12.44196
11-Jan-2020 08:00:00,12.056995
11-Jan-2020 09:00:00,9.46633
11-Jan-2020 10:00:00,10.658605
11-Jan-2020 11:00:00,36.74015
11-Jan-2020 12:00:00,33.2032775
11-Jan-2020 13:00:00,28.84737
11-Jan-2020 14:00:00,24.7812625
11-Jan-2020 15:00:00,17.4661575
11-Jan-2020 16:00:00,10.39089
11-Jan-2020 17:00:00,38.27042
11-Jan-2020 18:00:00,19.8344675
11-Jan-2020 19:00:00,22.73112
11-Jan-2020 20:00:00,20.058716
11-Jan-2020 21:00:00,22.1341075
11-Jan-2020 22:00:00,21.221171
11-Jan-2020 23:00:00,17.45207
12-Jan-2020 00:00:00,19.3455
12-Jan-2020 01:00:00,19.60485
12-Jan-2020 02:00:00,16.00937
12-Jan-2020 03:00:00,14.28597
12-Jan-2020 04:00:00,12.85055
12-Jan-2020 05:00:00,12.03554
12-Jan-2020 06:00:00,10.3163225
12-Jan-2020 07:00:00,10.29534
12-Jan-2020 08:00:00,10.26776
12-Jan-2020 09:00:00,10.21232
12-Jan-2020 10:00:00,11.42003
12-Jan-2020 11:00:00,19.11219
12-Jan-2020 12:00:00,17.1383125
12-Jan-2020 13:00:00,16.0856
12-Jan-2020 14:00:00,12.19255
12-Jan-2020 15:00:00,13.2342725
12-Jan-2020 16:00:00,13.43743
12-Jan-2020 17:00:00,16.40025
12-Jan-2020 18:00:00,15.49389
12-Jan-2020 19:00:00,14.87677
12-Jan-2020 20:00:00,14.50731
12-Jan-2020 21:00:00,12.42537
12-Jan-2020 22:00:00,10.23752
12-Jan-2020 23:00:00,8.18631
13-Jan-2020 00:00:00,8.94406
13-Jan-2020 01:00:00,9.36378
13-Jan-2020 02:00:00,10.49757
13-Jan-2020 03:00:00,9.88157
13-Jan-2020 04:00:00,8.04883
13-Jan-2020 05:00:00,7.56044
13-Jan-2020 06:00:00,5.61528
13-Jan-2020 07:00:00,3.60838
13-Jan-2020 08:00:00,4.3725
13-Jan-2020 09:00:00,6.10619
13-Jan-2020 10:00:00,3.93822
13-Jan-2020 11:00:00,6.167615
13-Jan-2020 12:00:00,8.49571
13-Jan-2020 13:00:00,8.46687
13-Jan-2020 14:00:00,8.07438
13-Jan-2020 15:00:00,4.65768
13-Jan-2020 16:00:00,6.66381
13-Jan-2020 17:00:00,9.27817
13-Jan-2020 18:00:00,9.28146
13-Jan-2020 19:00:00,6.54733
13-Jan-2020 20:00:00,4.41723
13-Jan-2020 21:00:00,4.11119
13-Jan-2020 22:00:00,5.72917
13-Jan-2020 23:00:00,4.59517
14-Jan-2020 00:00:00,4.53924
14-Jan-2020 01:00:00,4.32973
14-Jan-2020 02:00:00,4.60735
14-Jan-2020 03:00:00,4.90478
14-Jan-2020 04:00:00,4.97737
14-Jan-2020 05:00:00,5.43265
14-Jan-2020 06:00:00,6.32879
14-Jan-2020 07:00:00,10.09969
14-Jan-2020 08:00:00,9.1823575
14-Jan-2020 09:00:00,13.22351
14-Jan-2020 10:00:00,31.2295925
14-Jan-2020 11:00:00,25.3846625
14-Jan-2020 12:00:00,16.82242
