Local Time,PM2.5 (ug/m3)
01-Jan-2020 00:00:00,53.04833
01-Jan-2020 01:00:00,23.13285
01-Jan-2020 02:00:00,12.65931
01-Jan-2020 03:00:00,9.8766
01-Jan-2020 04:00:00,5.13494
01-Jan-2020 05:00:00,5.40528
01-Jan-2020 06:00:00,4.484395
01-Jan-2020 07:00:00,5.20557
01-Jan-2020 08:00:00,5.9216
01-Jan-2020 09:00:00,7.70317
01-Jan-2020 10:00:00,8.10854
01-Jan-2020 11:00:00,8.65363
01-Jan-2020 12:00:00,8.18141
01-Jan-2020 13:00:00,7.09039
01-Jan-2020 14:00:00,11.12274
01-Jan-2020 15:00:00,4.1706725
01-Jan-2020 16:00:00,4.7786225
01-Jan-2020 17:00:00,8.42879
01-Jan-2020 18:00:00,9.96004
01-Jan-2020 19:00:00,20.45115
01-Jan-2020 20:00:00,11.0064875
01-Jan-2020 21:00:00,8.1257425
01-Jan-2020 22:00:00,7.6144625
01-Jan-2020 23:00:00,5.82647
02-Jan-2020 00:00:00,7.90127
02-Jan-2020 01:00:00,3.3842225
02-Jan-2020 02:00:00,4.7623475
02-Jan-2020 03:00:00,5.06753
02-Jan-2020 04:00:00,4.94454
02-Jan-2020 05:00:00,5.0242
02-Jan-2020 06:00:00,6.77714
02-Jan-2020 07:00:00,7.42975
02-Jan-2020 08:00:00,7.97379
02-Jan-2020 09:00:00,9.85518
02-Jan-2020 10:00:00,7.19
02-Jan-2020 11:00:00,6.43974
02-Jan-2020 12:00:00,5.57958
02-Jan-2020 13:00:00,4.97534
02-Jan-2020 14:00:00,5.86777
02-Jan-2020 15:00:00,6.34748
02-Jan-2020 16:00:00,7.10096
02-Jan-2020 17:00:00,8.9807225
02-Jan-2020 18:00:00,11.49591
02-Jan-2020 19:00:00,14.33777
02-Jan-2020 20:00:00,14.35415
02-Jan-2020 21:00:00,28.60251
02-Jan-2020 22:00:00,37.00496
02-Jan-2020 23:00:00,52.89587
03-Jan-2020 00:00:00,34.15869
03-Jan-2020 01:00:00,5.80295
